headlines,publication_date,url,location,event_date,category,date,extracted_location,coordinates,latitude,longitude
Diving deep for a good cause,2016-06-07,http://www.news24.com/SouthAfrica/Local/Peoples-Post/diving-deep-for-a-good-cause-20160606,Kalk Bay,2016-06-04 00:00:00.000000000,waste,2016-06-04 00:00:00.000000000,['Kalk Bay'],"(-34.1278617, 18.4486182)",-34.1278617,18.4486182
Ground-breaking' accord on illegal fishing,2016-06-05,http://www.news24.com/Green/News/ground-breaking-accord-on-illegal-fishing-20160605,,2016-06-05 00:00:00.000000000,illegal fishing,2016-06-05 00:00:00.000000000,South Africa,"(-25.7460186, 28.1871204)",-25.7460186,28.1871204
"Tons of squid, fish found on 3 captured Chinese vessels",2016-05-23,http://www.news24.com/SouthAfrica/News/tons-of-squid-fish-found-on-3-captured-chinese-vessels-20160523,Eastern Cape coastline,2016-05-02 00:00:00.000000000,illegal fishing,2016-05-02 00:00:00.000000000,['Eastern Cape'],"(-32.153662522243, 26.446366021832)",-32.153662522243,26.446366021832
3 Chinese fishing trawlers escorted to East London harbour,2016-05-23,http://www.news24.com/SouthAfrica/News/3-chinese-fishing-trawlers-escorted-to-east-london-harbour-20160523,East London Harbour,2016-05-02 00:00:00.000000000,illegal fishing,2016-05-02 00:00:00.000000000,['East London Harbour'],"(-33.0252577, 27.8770623)",-33.0252577,27.8770623
Suspicious vessels at sea raise concern,2016-05-13,http://www.news24.com/SouthAfrica/News/suspicious-vessels-at-sea-raise-concern-20160513,"Durban, Port St Johns and Cape Recife ",,illegal fishing,2016-05-13 00:00:00.000000000,"['Durban', 'Port St Johns', 'Cape Recife']","(-29.8579, 31.0292)",-29.8579,31.0292
‘Billions unlocked for ocean economy’,2016-04-13,http://www.news24.com/SouthAfrica/Local/PE-Express/billions-unlocked-for-ocean-economy-20160411-2,Port Elizabeth,2016-04-08 00:00:00.000000000,development,2016-04-08 00:00:00.000000000,['Port Elizabeth'],"(-33.96109, 25.61494)",-33.96109,25.61494
Trained team help free playful whale from fishing rope,2016-03-02,http://www.news24.com/SouthAfrica/News/trained-team-help-free-playful-whale-from-fishing-rope-20160302,Bantry Bay,2016-03-02 00:00:00.000000000,waste,2016-03-02 00:00:00.000000000,['Bantry Bay'],"(-33.927712, 18.3788164)",-33.927712,18.3788164
Forensics team to tackle fishing industry fronting - minister,2015-12-14,http://www.news24.com/SouthAfrica/News/team-to-tackle-fishing-industry-fronting-20151214,South Africa,,development,2015-12-14 00:00:00.000000000,['South Africa'],"(-28.997182288, 25.08504994)",-28.997182288,25.08504994
Crayfish season kicks off in the Cape,2015-11-13,http://www.iol.co.za/news/south-africa/western-cape/crayfish-season-kicks-off-in-the-cape-1945082,Cape Town,2015-11-15 00:00:00.000000000,sea life,2015-11-15 00:00:00.000000000,['Cape Town'],"(-33.9271093, 18.4200603)",-33.9271093,18.4200603
R20.6m fine for illegal crayfish catching,2015-11-03,http://www.iol.co.za/capetimes/r206m-fine-for-illegal-crayfish-catching-1939701,Cape Town,,illegal fishing,2015-11-03 00:00:00.000000000,['Cape Town'],"(-33.9271093, 18.4200603)",-33.9271093,18.4200603
Bengis to pay $1.5m for role in illegal lobster catching,2015-11-03,http://www.iol.co.za/capetimes/bengis-to-pay-15m-for-role-in-illegal-lobster-catching-1939510,Cape Town,,illegal fishing,2015-11-03 00:00:00.000000000,['Cape Town'],"(-33.9271093, 18.4200603)",-33.9271093,18.4200603
"Ropes, buoys pose a danger to whales",2015-07-10,http://www.iol.co.za/news/south-africa/western-cape/ropes-buoys-pose-a-danger-to-whales-1883716,Dassen Island,2015-03-21 00:00:00.000000000,waste,2015-03-21 00:00:00.000000000,['Dassen Island'],"(-33.42459, 18.08755)",-33.42459,18.08755
Fishing: Consultation on quotas,2015-06-29,http://www.iol.co.za/business/news/fishing-consultation-on-quotas-1877426,South Africa,,development,2015-06-29 00:00:00.000000000,['South Africa'],"(-28.997182288, 25.08504994)",-28.997182288,25.08504994
Worrying pressure on SA’s fish stocks,2015-06-09,http://www.iol.co.za/scitech/science/environment/worrying-pressure-on-sas-fish-stocks-1869417,09/06/2015,,public concern,2015-06-09 00:00:00.000000000,[],"(-25.7460186, 28.1871204)",-25.7460186,28.1871204
Poachers nabbed with 138 crayfish,2015-04-22,http://www.iol.co.za/news/crime-courts/poachers-nabbed-with-138-crayfish-1848964,Olifantsbos in the Cape Point section of Table Mountain National Park,2015-04-20 00:00:00.000000000,illegal fishing,2015-04-20 00:00:00.000000000,"['Cape Point', 'Table Mountain National Park']","(-34.3573, 18.4971)",-34.3573,18.4971
Tons of lobster die after red tide,2015-02-12,http://www.iol.co.za/scitech/science/environment/tons-of-lobster-die-after-red-tide-1816954,Elands Bay,2015-02-02 00:00:00.000000000,red tide,2015-02-02 00:00:00.000000000,['Elands Bay'],"(-32.3137967, 18.3402608)",-32.3137967,18.3402608
Massive lobster ‘walkout’,2015-02-12,http://www.iol.co.za/capetimes/massive-lobster-walkout-1816778,Elands Bay,2015-02-02 00:00:00.000000000,red tide,2015-02-02 00:00:00.000000000,['Elands Bay'],"(-32.3137967, 18.3402608)",-32.3137967,18.3402608
‘Light’ illegal fishing fines condemned,2014-09-30,http://www.iol.co.za/news/crime-courts/light-illegal-fishing-fines-condemned-1758011,Durban's coast,,illegal fishing,2014-09-30 00:00:00.000000000,['Durban'],"(-29.8579, 31.0292)",-29.8579,31.0292
Lobster warning as red tide spreads,2015-02-11,http://www.timeslive.co.za/local/2015/02/11/lobster-warning-as-red-tide-spreads,Eland's Bay,,red tide,2015-02-11 00:00:00.000000000,"[""Eland's Bay""]","(-32.3137967, 18.3402608)",-32.3137967,18.3402608
Lobsters in walkout as red tide hits coast,2015-02-08,http://www.timeslive.co.za/sundaytimes/2015/02/08/lobsters-in-walkout-as-red-tide-hits-coast,Eland's Bay,2015-02-08 00:00:00.000000000,red tide,2015-02-08 00:00:00.000000000,"[""Eland's Bay""]","(-32.3137967, 18.3402608)",-32.3137967,18.3402608
Harmful Algal Bloom (Red Tide) outbreak in the Garden Route Coastal areas,2015-12-15,https://www.environment.gov.za/mediarelease/harmfulalgalbloom_redtide_outbreak,"Plettenberg Bay, Knysna and Wilderness",2015-12-15 00:00:00.000000000,red tide,2015-12-15 00:00:00.000000000,"['Plettenberg Bay', 'Knysna', 'Wilderness']","(-34.06262874063, 23.352963359983)",-34.06262874063,23.352963359983
Rock lobster mop-up operations underway,2015-02-12,http://ewn.co.za/2015/02/12/Mop-up-operations-underway-after-rock-lobster-washedout,Eland's Bay,2015-02-01 00:00:00.000000000,waste,2015-02-01 00:00:00.000000000,"[""Eland's Bay""]","(-32.3137967, 18.3402608)",-32.3137967,18.3402608
Warning: Red tide along the West Coast,2016-02-13,http://www.capenature.co.za/warning-red-tide-along-west-coast/,Dwarskerbos to north of the Olifants River,2015-02-13 00:00:00.000000000,red tide,2015-02-13 00:00:00.000000000,"['Dwarskerbos', 'Olifants River']","(-32.6965854, 18.2302398)",-32.6965854,18.2302398
Arrested Chinese vessel faces more charges – to remain in custody until fines are paid: SAMSA,2016-05-18,https://blog.samsa.org.za/2016/05/19/arrested-chinese-vessel-faces-more-charges-to-remain-in-custody-until-fines-are-paid-samsa/,Cape Town,2016-05-07 00:00:00.000000000,illegal fishing,2016-05-07 00:00:00.000000000,['Cape Town'],"(-33.9271093, 18.4200603)",-33.9271093,18.4200603
Norway pumps R50-million into South Africa’s fight against illegal fishing,2016-06-07,https://blog.samsa.org.za/2016/06/07/norway-pumps-r50-million-into-south-africas-fight-against-illegal-fishing/,Port Elizabeth,2016-06-07 00:00:00.000000000,illegal fishing,2016-06-07 00:00:00.000000000,['Port Elizabeth'],"(-33.96109, 25.61494)",-33.96109,25.61494
Double digit increase in maritime sector budget allocation is a sign of Government commitment,2016-06-03,https://blog.samsa.org.za/2016/06/03/double-digit-increase-in-maritime-sector-budget-allocation-is-a-sign-of-government-commitment/,South Africa,2016-05-10 00:00:00.000000000,development,2016-05-10 00:00:00.000000000,['South Africa'],"(-28.997182288, 25.08504994)",-28.997182288,25.08504994
Three more Chinese fishing vessels arrested in South Africa,2016-05-23,https://blog.samsa.org.za/2016/05/23/three-more-chinese-fishing-vessels-arrested-in-south-africa/,Off the coast of the Eastern Cape in the Indian Ocean,,illegal fishing,2016-05-23 00:00:00.000000000,"['Eastern Cape', 'Indian Ocean']","(-32.153662522243, 26.446366021832)",-32.153662522243,26.446366021832
Operation Phakisa (Ocean Economy) in the national spotlight in Eastern Cape on Friday,2016-04-07,https://blog.samsa.org.za/2016/04/07/operation-phakisa-ocean-economy-in-the-national-spotlight-in-eastern-cape-on-friday/,Port Elizabeth,2016-04-08 00:00:00.000000000,development,2016-04-08 00:00:00.000000000,['Port Elizabeth'],"(-33.96109, 25.61494)",-33.96109,25.61494
Ocean acidification: A challenge to Operation Phakisa delivery plans,,http://www.csir.co.za/news/2016/02/ocea_acidification.html,South Africa,1970-01-01 00:00:00.000002015,development,1970-01-01 00:00:00.000002015,['South Africa'],"(-28.997182288, 25.08504994)",-28.997182288,25.08504994
Red tide outbreak on Garden Route,2015-12-15,http://www.iol.co.za/news/south-africa/western-cape/red-tide-outbreak-on-garden-route-1960884,"Plettenberg Bay, Knysna and Wilderness",2015-12-15 00:00:00.000000000,red tide,2015-12-15 00:00:00.000000000,"['Plettenberg Bay', 'Knysna', 'Wilderness']","(-34.06262874063, 23.352963359983)",-34.06262874063,23.352963359983
Red tide warning issued to Garden Route,2015-12-16,http://www.news24.com/MyNews24/red-tide-warning-issued-to-garden-route-20151216,"Garden Route, Knysna Estuary",2015-12-16 00:00:00.000000000,red tide,2015-12-16 00:00:00.000000000,"['Garden Route', 'Knysna Estuary']","(-33.821218993232, 22.012630777892)",-33.821218993232,22.012630777892
Garden Route declared red tide area,2015-12-17,http://www.georgeherald.com/news/News/General/154215/Garden-Route-declared-red-tide-area,Algoa Bay,2015-12-10 00:00:00.000000000,red tide,2015-12-10 00:00:00.000000000,['Algoa Bay'],"(-33.82677, 25.79526)",-33.82677,25.79526
